Year,Price,Population,RDPI,Employment
2008,218327.6667,6280362,32012,3402808
2009,174921.4167,6343154,30844,3228493
2010,158375.4167,6407774,30918,3181571
2011,140399.6667,6473497,31712,3239045
2012,150678.4167,6556629,32834,3295537
2013,177404.5,6634999,33005,3371219
2014,192149.9167,6733840,34501,3448173
2015,201669,6833596,35591,3548174
2016,215061.5,6945452,36490,3646604
2017,229914.25,7048876,38196,3751283
2018,247449.5833,7171646,39955,3859137
