Year,Price,CrimeIncidents,Population,PerCapitaPersonalIncome,MedianHouseholdIncome,PriceMax,PriceMin,CrimeIncidentsMax,CrimeIncidentsMin,PopulationMax,PopulationMin,PerCapitaPersonalIncomeMax,PerCapitaPersonalIncomeMin,MedianHouseholdIncomeMax,MedianHouseholdIncomeMin
2008,205.29,112,12.838,39443,55798,205.29,139.58,112,56,14.423,12.838,51584,38608,66499,48758
2009,179.56,86,12.851,38608,53973,196.6,139.58,86,56,14.423,12.851,51584,38608,66499,48758
2010,162.67,84,14.257,40295,52768,196.6,139.58,84,56,14.423,14.043,51584,40295,66499,48758
2011,147.12,78,14.423,41606,48758,196.6,139.58,78,56,14.423,14.043,51584,40529,66499,48758
2012,139.58,68,14.334,40529,53067,196.6,139.58,78,56,14.334,14.043,51584,40529,66499,53067
2013,142.08,78,14.074,42057,55107,196.6,142.08,78,56,14.25,14.043,51584,42057,66499,53992
2014,154.45,77,14.142,43774,59181,196.6,154.45,77,56,14.25,14.043,51584,43774,66499,53992
2015,160.97,56,14.043,45073,53992,196.6,160.97,74,56,14.25,14.043,51584,45073,66499,53992
2016,172.67,67,14.202,46528,56574,196.6,172.67,74,67,14.25,14.202,51584,46528,66499,56574
2017,181.22,74,14.235,51584,60318,196.6,181.22,74,67,14.25,14.235,51584,51325,66499,60318
2018,196.6,67,14.25,51325,66499,196.6,196.6,67,67,14.25,14.25,51325,51325,66499,66499
