Year,Price,CrimeIncidents,Population,PerCapitaPersonalIncome,MedianHouseholdIncome,PriceMax,PriceMin,CrimeIncidentsMax,CrimeIncidentsMin,PopulationMax,PopulationMin,PerCapitaPersonalIncomeMax,PerCapitaPersonalIncomeMin,MedianHouseholdIncomeMax,MedianHouseholdIncomeMin
2008,168.86,2055,402.92,45734,60645,201.61,128.84,2099,1437,446.527,402.92,62690,44221,75646,56243
2009,151.35,1919,405.847,44221,58555,201.61,128.84,2099,1437,446.527,402.92,62690,44221,75646,56243
2010,143.63,1766,424.235,45621,56243,201.61,128.84,2099,1437,446.527,402.92,62690,44221,75646,56243
2011,132.24,1794,425.481,48888,59494,201.61,128.84,2099,1437,446.527,402.92,62690,44221,75646,56243
2012,128.84,2099,429.825,51207,60683,201.61,128.84,2099,1437,446.527,402.92,62690,44221,75646,56243
2013,141.12,2041,434.823,50763,60803,201.61,128.84,2099,1437,446.527,402.92,62690,44221,75646,56243
2014,161.73,1841,439.358,53758,62116,201.61,128.84,2099,1437,446.527,402.92,62690,44221,75646,56243
2015,171.55,1942,442.522,57307,63049,201.61,128.84,2099,1437,446.527,402.92,62690,44221,75646,56243
2016,182.9,1904,444.675,57432,66360,201.61,128.84,2099,1437,446.527,402.92,62690,44221,75646,56243
2017,192.57,1771,445.606,59633,70651,201.61,128.84,2099,1437,446.527,402.92,62690,44221,75646,56243
2018,201.61,1437,446.527,62690,75646,201.61,128.84,2099,1437,446.527,402.92,62690,44221,75646,56243
