Year,Price,CrimeIncidents,Population,PerCapitaPersonalIncome,MedianHouseholdIncome,PriceMax,PriceMin,CrimeIncidentsMax,CrimeIncidentsMin,PopulationMax,PopulationMin,PerCapitaPersonalIncomeMax,PerCapitaPersonalIncomeMin,MedianHouseholdIncomeMax,MedianHouseholdIncomeMin
2008,184,1057,65.102,29844,38926,184,104.43,1057,691,65.236,63.809,43185,29760,45797,35437
2009,147.53,973,65.236,29760,36895,184,104.43,1057,691,65.236,63.809,43185,29760,45797,35437
2010,128.72,1094,64.735,30885,35914,184,104.43,1057,691,65.236,63.809,43185,29760,45797,35437
2011,107.52,873,64.247,32054,35882,184,104.43,1057,691,65.236,63.809,43185,29760,45797,35437
2012,104.43,1002,63.963,33114,35437,184,104.43,1057,691,65.236,63.809,43185,29760,45797,35437
2013,113.05,975,63.809,34313,36973,184,104.43,1057,691,65.236,63.809,43185,29760,45797,35437
2014,124.25,858,64.058,36205,36333,184,104.43,1057,691,65.236,63.809,43185,29760,45797,35437
2015,136.14,1037,64.254,38665,37993,184,104.43,1057,691,65.236,63.809,43185,29760,45797,35437
2016,150.46,814,63.884,40258,40818,184,104.43,1057,691,65.236,63.809,43185,29760,45797,35437
2017,166.62,779,64.162,41460,45797,184,104.43,1057,691,65.236,63.809,43185,29760,45797,35437
2018,179.62,691,64.382,43185,45086,184,104.43,1057,691,65.236,63.809,43185,29760,45797,35437
