Year,Price,CrimeIncidents,Population,PerCapitaPersonalIncome,MedianHouseholdIncome,PriceMax,PriceMin,CrimeIncidentsMax,CrimeIncidentsMin,PopulationMax,PopulationMin,PerCapitaPersonalIncomeMax,PerCapitaPersonalIncomeMin,MedianHouseholdIncomeMax,MedianHouseholdIncomeMin
2008,171.62,702,97.399,44369,56030,179.56,112.57,905,573,99.696,97.399,61799,43477,66681,53833
2009,147.73,803,97.721,43477,57250,179.56,112.57,905,573,99.696,97.721,61799,43477,66681,53833
2010,128.57,715,98.785,45583,54154,179.56,112.57,905,573,99.696,97.952,61799,45583,66681,53833
2011,115.92,699,98.697,47859,53833,179.56,112.57,905,573,99.696,97.952,61799,47859,66681,53833
2012,112.57,847,98.14,49687,54230,179.56,112.57,905,573,99.696,97.952,61799,49687,66681,54230
2013,123.02,905,97.952,50570,55246,179.56,123.02,905,573,99.696,97.952,61799,50570,66681,55246
2014,137.76,730,98.589,53757,57118,179.56,137.76,855,573,99.696,98.589,61799,53757,66681,57118
2015,144.88,855,98.709,55662,57627,179.56,144.88,855,573,99.696,98.709,61799,55662,66681,57627
2016,156.66,777,98.964,58146,60501,179.56,156.66,794,573,99.696,98.964,61799,58146,66681,60501
2017,170.09,794,99.503,58771,64901,179.56,170.09,794,573,99.696,99.503,61799,58771,66681,64901
2018,179.56,573,99.696,61799,66681,179.56,179.56,573,573,99.696,99.696,61799,61799,66681,66681
