Year,Price,CrimeIncidents,Population,PerCapitaPersonalIncome,MedianHouseholdIncome,PriceMax,PriceMin,CrimeIncidentsMax,CrimeIncidentsMin,PopulationMax,PopulationMin,PerCapitaPersonalIncomeMax,PerCapitaPersonalIncomeMin,MedianHouseholdIncomeMax,MedianHouseholdIncomeMin
2008,155.42,1109,248.028,90692,89909,205.06,127.23,1109,708,261.016,248.028,134275,82228,122933,78470
2009,139.66,1006,250.521,82228,86658,205.06,127.23,1006,708,261.016,250.521,134275,82228,122933,78470
2010,133.3,928,252.905,84080,82383,205.06,127.23,928,708,261.016,252.905,134275,84080,122933,78470
2011,127.23,861,255.363,90962,78470,205.06,127.23,867,708,261.016,255.363,134275,90962,122933,78470
2012,129.29,840,256.072,97288,88654,205.06,129.29,867,708,261.016,256.072,134275,97288,122933,88654
2013,140.42,809,258.453,98431,94347,205.06,140.42,867,708,261.016,258.453,134275,98431,122933,94347
2014,159.55,708,260.435,106614,94549,205.06,159.55,867,708,261.016,259.666,134275,106614,122933,94549
2015,170.08,841,261.016,114592,99868,205.06,170.08,867,781,261.016,259.666,134275,114592,122933,99868
2016,185.44,802,260.633,118416,103488,205.06,185.44,867,781,260.633,259.666,134275,118416,122933,103488
2017,192.2,867,259.725,124731,112735,205.06,192.2,867,781,259.725,259.666,134275,124731,122933,112735
2018,205.06,781,259.666,134275,122933,205.06,205.06,781,781,259.666,259.666,134275,134275,122933,122933
