Year,Price,CrimeIncidents,Population,PerCapitaPersonalIncome,MedianHouseholdIncome,PriceMax,PriceMin,CrimeIncidentsMax,CrimeIncidentsMin,PopulationMax,PopulationMin,PerCapitaPersonalIncomeMax,PerCapitaPersonalIncomeMin,MedianHouseholdIncomeMax,MedianHouseholdIncomeMin
2008,146.25,2259,465.847,43658,62314,206.8,112.4,2259,1596,503.249,465.847,64501,41828,81002,58703
2009,128.02,2090,471.349,41828,61985,206.8,112.4,2259,1596,503.249,465.847,64501,41828,81002,58703
2010,122.23,1975,484.776,42969,58703,206.8,112.4,2259,1596,503.249,465.847,64501,41828,81002,58703
2011,113.2,1817,487.423,45065,60792,206.8,112.4,2259,1596,503.249,465.847,64501,41828,81002,58703
2012,112.4,2011,490.071,46914,59855,206.8,112.4,2259,1596,503.249,465.847,64501,41828,81002,58703
2013,128.27,1949,494.243,48635,61020,206.8,112.4,2259,1596,503.249,465.847,64501,41828,81002,58703
2014,149.62,1978,498.803,51565,66949,206.8,112.4,2259,1596,503.249,465.847,64501,41828,81002,58703
2015,160.4,2106,501.346,55515,66463,206.8,112.4,2259,1596,503.249,465.847,64501,41828,81002,58703
2016,175.11,2033,503.249,57566,73496,206.8,112.4,2259,1596,503.249,465.847,64501,41828,81002,58703
2017,189.7,1785,503.246,60170,79511,206.8,112.4,2259,1596,503.249,465.847,64501,41828,81002,58703
2018,206.8,1596,499.942,64501,81002,206.8,112.4,2259,1596,503.249,465.847,64501,41828,81002,58703
