Year,Price,CrimeIncidents,Population,PerCapitaPersonalIncome,MedianHouseholdIncome,PriceMax,PriceMin,CrimeIncidentsMax,CrimeIncidentsMin,PopulationMax,PopulationMin,PerCapitaPersonalIncomeMax,PerCapitaPersonalIncomeMin,MedianHouseholdIncomeMax,MedianHouseholdIncomeMin
2008,191.53,968,85.787,34925,43134,195.57,126.64,968,596,87.8,85.787,50150,34925,51386,40339
2009,163.94,854,85.871,35023,41488,195.57,126.64,948,596,87.8,85.871,50150,35023,51386,40339
2010,145.48,861,87.8,37729,40339,195.57,126.64,948,596,87.8,87.077,50150,37729,51386,40339
2011,130.16,839,87.334,38949,41236,195.57,126.64,948,596,87.697,87.077,50150,38949,51386,41088
2012,126.64,852,87.304,39179,41088,195.57,126.64,948,596,87.697,87.077,50150,39179,51386,41088
2013,133.18,948,87.077,40361,42001,195.57,133.18,948,596,87.697,87.077,50150,40361,51386,42001
2014,147.05,842,87.257,42842,42840,195.57,147.05,842,596,87.697,87.168,50150,42842,51386,42840
2015,156.74,775,87.168,45203,43237,195.57,156.74,823,596,87.697,87.168,50150,45203,51386,43237
2016,172.07,823,87.382,46602,45247,195.57,172.07,823,596,87.697,87.382,50150,46602,51386,45247
2017,184.27,635,87.697,47611,50453,195.57,184.27,635,596,87.697,87.606,50150,47611,51386,50453
2018,195.57,596,87.606,50150,51386,195.57,195.57,596,596,87.606,87.606,50150,50150,51386,51386
