Year,Price,CrimeIncidents,Population,PerCapitaPersonalIncome,MedianHouseholdIncome,PriceMax,PriceMin,CrimeIncidentsMax,CrimeIncidentsMin,PopulationMax,PopulationMin,PerCapitaPersonalIncomeMax,PerCapitaPersonalIncomeMin,MedianHouseholdIncomeMax,MedianHouseholdIncomeMin
2008,220.5,372,28.885,26117,36729,220.5,141.4,526,353,29.058,27.198,37268,26117,48518,35438
2009,188.44,364,29.058,26302,38252,220.5,141.4,526,353,29.058,27.198,37268,26117,48518,35438
2010,171.17,459,28.568,27421,35438,220.5,141.4,526,353,29.058,27.198,37268,26117,48518,35438
2011,149.27,526,28.442,28681,35598,220.5,141.4,526,353,29.058,27.198,37268,26117,48518,35438
2012,141.4,479,28.189,29449,37305,220.5,141.4,526,353,29.058,27.198,37268,26117,48518,35438
2013,143.98,353,27.817,30680,38663,220.5,141.4,526,353,29.058,27.198,37268,26117,48518,35438
2014,154.33,452,27.198,32606,41419,220.5,141.4,526,353,29.058,27.198,37268,26117,48518,35438
2015,161.16,481,27.246,34754,38963,220.5,141.4,526,353,29.058,27.198,37268,26117,48518,35438
2016,173.17,470,27.422,35868,39458,220.5,141.4,526,353,29.058,27.198,37268,26117,48518,35438
2017,189.47,461,27.428,36172,39996,220.5,141.4,526,353,29.058,27.198,37268,26117,48518,35438
2018,206.07,401,27.828,37268,48518,220.5,141.4,526,353,29.058,27.198,37268,26117,48518,35438
