Year,Price,CrimeIncidents,Population,PerCapitaPersonalIncome,MedianHouseholdIncome,PriceMax,PriceMin,CrimeIncidentsMax,CrimeIncidentsMin,PopulationMax,PopulationMin,PerCapitaPersonalIncomeMax,PerCapitaPersonalIncomeMin,MedianHouseholdIncomeMax,MedianHouseholdIncomeMin
2008,188.58,1588,2988.541,50021,74862,249.26,161.45,1663,1352,3185.968,2988.541,69268,46806,89373,70727
2009,168.3,1515,3023.265,46806,71735,249.26,161.45,1663,1352,3185.968,3016.559,69268,46806,89373,70727
2010,169.35,1462,3016.559,49773,70727,249.26,161.45,1663,1352,3185.968,3016.559,69268,49773,89373,70727
2011,161.88,1552,3050.867,51495,72046,249.26,161.45,1663,1352,3185.968,3050.867,69268,51495,89373,71866
2012,161.45,1663,3080.419,55348,71866,249.26,161.45,1663,1352,3185.968,3080.419,69268,54717,89373,71866
2013,177.64,1482,3108.009,54717,73827,249.26,177.64,1482,1352,3185.968,3108.009,69268,54717,89373,73827
2014,200.2,1413,3130.322,57165,76061,249.26,200.2,1478,1352,3185.968,3130.322,69268,57165,89373,76061
2015,207.96,1478,3153.962,61219,78002,249.26,207.96,1478,1352,3185.968,3153.962,69268,61219,89373,78002
2016,221.42,1352,3170.707,63086,81642,249.26,221.42,1449,1352,3185.968,3170.707,69268,63086,89373,81642
2017,235.2,1449,3179.95,65709,86031,249.26,235.2,1449,1399,3185.968,3179.95,69268,65709,89373,86031
2018,249.26,1399,3185.968,69268,89373,249.26,249.26,1399,1399,3185.968,3185.968,69268,69268,89373,89373
