Year,Price,CrimeIncidents,Population,PerCapitaPersonalIncome,MedianHouseholdIncome,PriceMax,PriceMin,CrimeIncidentsMax,CrimeIncidentsMin,PopulationMax,PopulationMin,PerCapitaPersonalIncomeMax,PerCapitaPersonalIncomeMin,MedianHouseholdIncomeMax,MedianHouseholdIncomeMin
2008,171.52,2273,176.852,48375,67019,195.6,118.83,2465,2174,190.678,176.852,67464,46726,81869,61970
2009,145.39,2174,177.921,46726,68778,195.6,118.83,2465,2174,190.678,176.852,67464,46726,81869,61970
2010,128.86,2246,181.133,48147,65201,195.6,118.83,2465,2174,190.678,176.852,67464,46726,81869,61970
2011,119.37,2465,180.918,50455,61970,195.6,118.83,2465,2174,190.678,176.852,67464,46726,81869,61970
2012,118.83,2265,180.578,52710,68446,195.6,118.83,2465,2174,190.678,176.852,67464,46726,81869,61970
2013,133.27,2276,181.497,54438,63002,195.6,118.83,2465,2174,190.678,176.852,67464,46726,81869,61970
2014,150.2,2209,183.161,57220,70235,195.6,118.83,2465,2174,190.678,176.852,67464,46726,81869,61970
2015,157.82,2283,184.66,60087,75575,195.6,118.83,2465,2174,190.678,176.852,67464,46726,81869,61970
2016,170.33,2376,186.082,62864,75100,195.6,118.83,2465,2174,190.678,176.852,67464,46726,81869,61970
2017,184.17,2209,188.722,64519,78464,195.6,118.83,2465,2174,190.678,176.852,67464,46726,81869,61970
2018,195.6,2230,190.678,67464,81869,195.6,118.83,2465,2174,190.678,176.852,67464,46726,81869,61970
