Year,Price,CrimeIncidents,Population,PerCapitaPersonalIncome,MedianHouseholdIncome,PriceMax,PriceMin,CrimeIncidentsMax,CrimeIncidentsMin,PopulationMax,PopulationMin,PerCapitaPersonalIncomeMax,PerCapitaPersonalIncomeMin,MedianHouseholdIncomeMax,MedianHouseholdIncomeMin
2008,127.76,2861,244.481,27235,42629,183.38,88.98,2861,2001,274.765,244.481,38519,27235,56169,39922
2009,92.31,2413,245.56,27339,39922,183.38,88.98,2778,2001,274.765,245.56,38519,27339,56169,39922
2010,91.3,2510,256.732,28440,41730,183.38,88.98,2778,2001,274.765,256.732,38519,28440,56169,40016
2011,88.98,2778,259.333,30554,40016,183.38,88.98,2778,2001,274.765,259.333,38519,30554,56169,40016
2012,92.09,2580,260.971,31080,42552,183.38,92.09,2580,2001,274.765,260.971,38519,31080,56169,41003
2013,106.6,2378,262.198,33150,41003,183.38,106.6,2378,2001,274.765,262.198,38519,33150,56169,41003
2014,130.53,2001,264.649,35361,43818,183.38,130.53,2083,2001,274.765,264.649,38519,35361,56169,42879
2015,139.86,2037,266.651,36028,42879,183.38,139.86,2083,2025,274.765,266.651,38519,36028,56169,42879
2016,151.79,2083,267.971,36786,47442,183.38,151.79,2083,2025,274.765,267.971,38519,36786,56169,47442
2017,166.72,2025,271.34,38037,48036,183.38,166.72,2042,2025,274.765,271.34,38519,38037,56169,48036
2018,183.38,2042,274.765,38519,56169,183.38,183.38,2042,2042,274.765,274.765,38519,38519,56169,56169
