Year,Price,CrimeIncidents,Population,PerCapitaPersonalIncome,MedianHouseholdIncome,PriceMax,PriceMin,CrimeIncidentsMax,CrimeIncidentsMin,PopulationMax,PopulationMin,PerCapitaPersonalIncomeMax,PerCapitaPersonalIncomeMin,MedianHouseholdIncomeMax,MedianHouseholdIncomeMin
2008,120.37,360,54.735,36997,64646,165.25,85.43,389,165,61.537,54.735,53822,35912,80063,58194
2009,94.95,326,54.98,36248,61281,165.25,85.43,389,165,61.537,54.735,53822,35912,80063,58194
2010,91.06,389,55.517,35912,58194,165.25,85.43,389,165,61.537,54.735,53822,35912,80063,58194
2011,85.43,306,55.982,37506,62618,165.25,85.43,389,165,61.537,54.735,53822,35912,80063,58194
2012,86.43,328,56.614,38616,60577,165.25,85.43,389,165,61.537,54.735,53822,35912,80063,58194
2013,104.75,255,57.267,40398,66780,165.25,85.43,389,165,61.537,54.735,53822,35912,80063,58194
2014,123.74,281,57.867,41910,68166,165.25,85.43,389,165,61.537,54.735,53822,35912,80063,58194
2015,132.08,214,58.243,46239,76521,165.25,85.43,389,165,61.537,54.735,53822,35912,80063,58194
2016,146.12,165,59.235,48634,73298,165.25,85.43,389,165,61.537,54.735,53822,35912,80063,58194
2017,154.57,195,60.199,50955,77200,165.25,85.43,389,165,61.537,54.735,53822,35912,80063,58194
2018,165.25,203,61.537,53822,80063,165.25,85.43,389,165,61.537,54.735,53822,35912,80063,58194
