Year,Price,CrimeIncidents,Population,PerCapitaPersonalIncome,MedianHouseholdIncome,PriceMax,PriceMin,CrimeIncidentsMax,CrimeIncidentsMin,PopulationMax,PopulationMin,PerCapitaPersonalIncomeMax,PerCapitaPersonalIncomeMin,MedianHouseholdIncomeMax,MedianHouseholdIncomeMin
2008,175.19,671,38.046,34244,53951,175.19,102.52,671,390,39.383,36.625,44793,33276,60588,49516
2009,143.89,527,38.038,33276,54461,175.19,102.52,671,390,39.383,36.625,44793,33276,60588,49516
2010,122.9,545,37.884,34373,49516,175.19,102.52,671,390,39.383,36.625,44793,33276,60588,49516
2011,107.2,652,37.538,35527,51553,175.19,102.52,671,390,39.383,36.625,44793,33276,60588,49516
2012,102.52,543,37.101,36438,51388,175.19,102.52,671,390,39.383,36.625,44793,33276,60588,49516
2013,112.4,507,36.625,37728,52357,175.19,102.52,671,390,39.383,36.625,44793,33276,60588,49516
2014,125.7,438,36.738,39802,54610,175.19,102.52,671,390,39.383,36.625,44793,33276,60588,49516
2015,137.34,390,37.037,41855,55879,175.19,102.52,671,390,39.383,36.625,44793,33276,60588,49516
2016,151.52,424,37.438,42701,59789,175.19,102.52,671,390,39.383,36.625,44793,33276,60588,49516
2017,162.29,443,38.551,43405,60588,175.19,102.52,671,390,39.383,36.625,44793,33276,60588,49516
2018,174.08,421,39.383,44793,58515,175.19,102.52,671,390,39.383,36.625,44793,33276,60588,49516
