Year,Price,CrimeIncidents,Population,PerCapitaPersonalIncome,MedianHouseholdIncome,PriceMax,PriceMin,CrimeIncidentsMax,CrimeIncidentsMin,PopulationMax,PopulationMin,PerCapitaPersonalIncomeMax,PerCapitaPersonalIncomeMin,MedianHouseholdIncomeMax,MedianHouseholdIncomeMin
2008,156.84,3557,1468.793,48938,70217,245.15,127.58,3557,2587,1666.753,1468.793,76644,46325,101744,66937
2009,135.95,3140,1489.583,46325,68258,245.15,127.58,3557,2587,1666.753,1468.793,76644,46325,101744,66937
2010,134.49,2910,1513.043,48142,66937,245.15,127.58,3557,2587,1666.753,1468.793,76644,46325,101744,66937
2011,127.58,2917,1530.998,51278,67295,245.15,127.58,3557,2587,1666.753,1468.793,76644,46325,101744,66937
2012,127.88,3313,1554.138,53389,70209,245.15,127.58,3557,2587,1666.753,1468.793,76644,46325,101744,66937
2013,145.9,3057,1580.247,55487,72128,245.15,127.58,3557,2587,1666.753,1468.793,76644,46325,101744,66937
2014,169.4,2699,1608.674,59085,76996,245.15,127.58,3557,2587,1666.753,1468.793,76644,46325,101744,66937
2015,184.11,2587,1634.634,63888,81462,245.15,127.58,3557,2587,1666.753,1468.793,76644,46325,101744,66937
2016,204.86,2784,1650.306,67567,89472,245.15,127.58,3557,2587,1666.753,1468.793,76644,46325,101744,66937
2017,222.27,2877,1658.131,71560,95550,245.15,127.58,3557,2587,1666.753,1468.793,76644,46325,101744,66937
2018,245.15,2734,1666.753,76644,101744,245.15,127.58,3557,2587,1666.753,1468.793,76644,46325,101744,66937
