Year,Price,CrimeIncidents,Population,PerCapitaPersonalIncome,MedianHouseholdIncome,PriceMax,PriceMin,CrimeIncidentsMax,CrimeIncidentsMin,PopulationMax,PopulationMin,PerCapitaPersonalIncomeMax,PerCapitaPersonalIncomeMin,MedianHouseholdIncomeMax,MedianHouseholdIncomeMin
2008,147.63,2103,1755.961,61503,88525,233.06,122.89,2103,1529,1937.57,1755.961,107877,57097,125933,84627
2009,127.04,1984,1782.913,57097,84990,233.06,122.89,2103,1529,1937.57,1755.961,107877,57097,125933,84627
2010,126.91,2016,1786.079,61330,84627,233.06,122.89,2103,1529,1937.57,1755.961,107877,57097,125933,84627
2011,122.89,1673,1812.166,66406,84741,233.06,122.89,2103,1529,1937.57,1755.961,107877,57097,125933,84627
2012,125.91,1941,1838.37,72792,91195,233.06,122.89,2103,1529,1937.57,1755.961,107877,57097,125933,84627
2013,141.89,1679,1867.302,72927,91843,233.06,122.89,2103,1529,1937.57,1755.961,107877,57097,125933,84627
2014,163.19,1529,1892.984,79055,97219,233.06,122.89,2103,1529,1937.57,1755.961,107877,57097,125933,84627
2015,177.03,1590,1917.481,86188,102191,233.06,122.89,2103,1529,1937.57,1755.961,107877,57097,125933,84627
2016,195.45,1628,1929.581,92505,110843,233.06,122.89,2103,1529,1937.57,1755.961,107877,57097,125933,84627
2017,206.9,1654,1933.383,100177,118468,233.06,122.89,2103,1529,1937.57,1755.961,107877,57097,125933,84627
2018,233.06,1742,1937.57,107877,125933,233.06,122.89,2103,1529,1937.57,1755.961,107877,57097,125933,84627
