Year,Price,CrimeIncidents,Population,PerCapitaPersonalIncome,MedianHouseholdIncome,PriceMax,PriceMin,CrimeIncidentsMax,CrimeIncidentsMin,PopulationMax,PopulationMin,PerCapitaPersonalIncomeMax,PerCapitaPersonalIncomeMin,MedianHouseholdIncomeMax,MedianHouseholdIncomeMin
2008,196.99,236,17.218,42720,47197,196.99,146.33,254,165,18.393,17.218,61358,41663,53793,44090
2009,169.2,205,17.31,41663,44090,196.99,146.33,254,165,18.393,17.218,61358,41663,53793,44090
2010,162.3,186,18.512,42366,44507,196.99,146.33,254,165,18.393,17.218,61358,41663,53793,44090
2011,148.05,193,18.393,44229,44928,196.99,146.33,254,165,18.393,17.218,61358,41663,53793,44090
2012,146.33,244,18.353,46730,45748,196.99,146.33,254,165,18.393,17.218,61358,41663,53793,44090
2013,151.9,230,18.36,47853,45784,196.99,146.33,254,165,18.393,17.218,61358,41663,53793,44090
2014,163.96,235,18.32,51184,49267,196.99,146.33,254,165,18.393,17.218,61358,41663,53793,44090
2015,164.78,165,18.174,53820,51697,196.99,146.33,254,165,18.393,17.218,61358,41663,53793,44090
2016,169.62,243,17.996,57580,53350,196.99,146.33,254,165,18.393,17.218,61358,41663,53793,44090
2017,182.65,254,17.948,59340,53528,196.99,146.33,254,165,18.393,17.218,61358,41663,53793,44090
2018,191.54,219,17.987,61358,53793,196.99,146.33,254,165,18.393,17.218,61358,41663,53793,44090
