Year,Price,CrimeIncidents,Population,PerCapitaPersonalIncome,MedianHouseholdIncome,PriceMax,PriceMin,CrimeIncidentsMax,CrimeIncidentsMin,PopulationMax,PopulationMin,PerCapitaPersonalIncomeMax,PerCapitaPersonalIncomeMin,MedianHouseholdIncomeMax,MedianHouseholdIncomeMin
2008,197.25,106,9.084,33524,35319,197.25,130.25,126,62,9.699,8.777,44822,33524,45227,34290
2009,176.73,72,9.125,35302,34290,179.6,130.25,126,62,9.699,8.777,44822,35302,45227,34290
2010,179.6,72,9.699,35343,34579,179.6,130.25,126,62,9.699,8.777,44822,35343,45227,34579
2011,145.81,117,9.512,37400,34654,174.3,130.25,126,62,9.512,8.777,44822,37400,45227,34654
2012,130.25,118,9.355,37786,36724,174.3,130.25,126,62,9.355,8.777,44822,37786,45227,36724
2013,149.38,126,9.149,38473,37055,174.3,133.99,126,62,9.149,8.777,44822,38473,45227,37055
2014,133.99,93,9.08,40658,39172,174.3,133.99,93,62,9.08,8.777,44822,40658,45227,38402
2015,148.15,88,9.048,42888,38402,174.3,148.15,88,62,9.048,8.777,44822,42888,45227,38402
2016,152.77,63,8.935,43301,42890,174.3,152.77,68,62,8.935,8.777,44822,43224,45227,40970
2017,174.3,62,8.848,43224,40970,174.3,158.6,68,62,8.848,8.777,44822,43224,45227,40970
2018,158.6,68,8.777,44822,45227,158.6,158.6,68,68,8.777,8.777,44822,44822,45227,45227
