Year,Price,CrimeIncidents,Population,PerCapitaPersonalIncome,MedianHouseholdIncome,PriceMax,PriceMin,CrimeIncidentsMax,CrimeIncidentsMin,PopulationMax,PopulationMin,PerCapitaPersonalIncomeMax,PerCapitaPersonalIncomeMin,MedianHouseholdIncomeMax,MedianHouseholdIncomeMin
2008,202.27,299,17.954,34321,44419,202.27,124.16,397,259,18.277,17.437,53143,34321,52387,42175
2009,163.63,326,17.701,34697,42775,194.85,124.16,397,259,18.277,17.437,53143,34697,52387,42175
2010,143.25,331,18.277,36183,42222,194.85,124.16,397,259,18.277,17.437,53143,36183,52387,42175
2011,129.14,397,18.168,37228,42175,194.85,124.16,397,259,18.168,17.437,53143,37228,52387,42175
2012,124.16,384,17.88,38309,43166,194.85,124.16,384,259,17.88,17.437,53143,38309,52387,43166
2013,131.18,375,17.808,39234,45251,194.85,131.18,376,259,17.808,17.437,53143,39234,52387,44595
2014,148.87,338,17.713,42245,47781,194.85,148.87,376,259,17.713,17.437,53143,42245,52387,44595
2015,158.74,357,17.622,45165,44595,194.85,158.74,376,259,17.622,17.437,53143,45165,52387,44595
2016,166.36,297,17.455,48877,51233,194.85,166.36,376,259,17.471,17.437,53143,48877,52387,51233
2017,177.97,376,17.437,50703,52387,194.85,177.97,376,259,17.471,17.437,53143,50703,52387,51402
2018,194.85,259,17.471,53143,51402,194.85,194.85,259,259,17.471,17.471,53143,53143,51402,51402
