Year,Price,CrimeIncidents,Population,PerCapitaPersonalIncome,MedianHouseholdIncome,PriceMax,PriceMin,CrimeIncidentsMax,CrimeIncidentsMin,PopulationMax,PopulationMin,PerCapitaPersonalIncomeMax,PerCapitaPersonalIncomeMin,MedianHouseholdIncomeMax,MedianHouseholdIncomeMin
2008,166.34,275,21.201,38857,44622,194.49,113.07,332,188,21.675,21.198,49094,38005,57249,44622
2009,139.38,323,21.325,41311,47472,194.49,113.07,332,188,21.675,21.198,49094,38005,57249,44622
2010,120.17,279,21.437,40803,44981,194.49,113.07,332,188,21.675,21.198,49094,38005,57249,44622
2011,115.02,309,21.327,41365,47469,194.49,113.07,332,188,21.675,21.198,49094,38005,57249,44622
2012,113.07,309,21.294,38005,49871,194.49,113.07,332,188,21.675,21.198,49094,38005,57249,44622
2013,121.77,332,21.265,45181,48897,194.49,113.07,332,188,21.675,21.198,49094,38005,57249,44622
2014,141.22,188,21.198,41877,48006,194.49,113.07,332,188,21.675,21.198,49094,38005,57249,44622
2015,147.47,199,21.269,47077,51118,194.49,113.07,332,188,21.675,21.198,49094,38005,57249,44622
2016,159.73,217,21.553,45163,54861,194.49,113.07,332,188,21.675,21.198,49094,38005,57249,44622
2017,170.12,211,21.675,45475,53595,194.49,113.07,332,188,21.675,21.198,49094,38005,57249,44622
2018,194.49,209,21.627,49094,57249,194.49,113.07,332,188,21.675,21.198,49094,38005,57249,44622
