Price,Year,Population,RDPI,Employment
218327.6667,2008,6280362,32012,3402808
174921.4167,2009,6343154,30844,3228493
158375.4167,2010,6407774,30918,3181571
140399.6667,2011,6473497,31712,3239045
150678.4167,2012,6556629,32834,3295537
177404.5,2013,6634999,33005,3371219
192149.9167,2014,6733840,34501,3448173
201669,2015,6833596,35591,3548174
215061.5,2016,6945452,36490,3646604
229914.25,2017,7048876,38196,3751283
247449.5833,2018,7171646,39955,3859137
